head_label,tail_label,score,kg_score,kg_score_norm,meta_score,rank
64000,214950,0.8857142857142857,-6.733918190002441,1.0,0.5428571428571428,1
326120,201570,0.8857142857142857,-5.870434284210205,1.0,0.5428571428571428,1
285160,238370,0.8857142857142857,-6.2744460105896,1.0,0.5428571428571428,1
249230,72850,0.8857142857142857,-6.1170573234558105,1.0,0.5428571428571428,1
238240,327860,0.8857142857142857,-6.581196308135986,1.0,0.5428571428571428,1
42670,55100,0.8857142857142857,-6.007633686065674,1.0,0.5428571428571428,1
360,208200,0.8854510345531657,-6.33730936050415,0.9972680460708876,0.5499999999999999,1
46500,319320,0.8850961538461538,-5.965191841125488,1.0,0.5403846153846154,1
233230,244430,0.8850961538461538,-6.215369701385498,1.0,0.5403846153846154,1
321960,61500,0.8848684210526316,-6.327835559844971,1.0,0.5394736842105263,1
314250,262960,0.8848557692307693,-6.570465564727783,1.0,0.5394230769230769,1
253880,267980,0.8846554510339752,-6.508048057556152,0.9962072680453005,0.5499999999999999,1
250030,203830,0.8845730455742258,-6.64590311050415,0.9996061660287924,0.5394736842105263,1
201070,214360,0.884375,-6.37805700302124,1.0,0.5375,1
20700,236730,0.884375,-6.350663185119629,1.0,0.5375,1
267920,38450,0.884375,-6.27106237411499,1.0,0.5375,1
331440,314410,0.884375,-6.144676685333252,1.0,0.5375,1
214100,390940,0.8842857142857143,-6.218908309936523,1.0,0.5371428571428571,1
396790,314510,0.8838818017180831,-6.5188798904418945,0.9957312911796663,0.5483333333333333,1
222660,201570,0.8838235294117647,-6.178576946258545,1.0,0.5352941176470588,1
349780,357900,0.8831249999999999,-6.368560314178467,1.0,0.5325,1
235600,311560,0.8826612903225807,-6.622907638549805,1.0,0.5306451612903226,1
368500,214250,0.8826612903225807,-6.8472676277160645,1.0,0.5306451612903226,1
412670,252310,0.8825000000000001,-6.232209205627441,1.0,0.53,1
325860,214360,0.8825000000000001,-6.15993595123291,1.0,0.53,1
311770,45770,0.8825000000000001,-6.676898956298828,1.0,0.53,1
214970,201570,0.8825000000000001,-6.221837520599365,1.0,0.53,1
223510,57300,0.8816964285714286,-6.156890869140625,1.0,0.5267857142857143,1
273570,360,0.8816964285714286,-6.345577239990234,1.0,0.5267857142857143,1
226720,277430,0.8816964285714286,-6.404824256896973,1.0,0.5267857142857143,1
289130,61500,0.8815217391304347,-6.523834705352783,1.0,0.5260869565217391,1
218060,296910,0.8815217391304347,-6.441908359527588,1.0,0.5260869565217391,1
207040,239800,0.8815217391304347,-6.518046855926514,1.0,0.5260869565217391,1
209230,284710,0.88125,-6.116036891937256,1.0,0.525,1
271670,251370,0.88125,-6.630056858062744,1.0,0.525,1
314160,15320,0.8807692307692307,-6.3427276611328125,1.0,0.5230769230769231,1
348870,284730,0.8807692307692307,-6.137902736663818,1.0,0.5230769230769231,1
247240,274270,0.8807692307692307,-6.416407108306885,1.0,0.5230769230769231,1
383230,249630,0.8804744396597413,-6.5572638511657715,0.9930135385939407,0.5428571428571428,1
242700,267900,0.8803571428571428,-6.299677848815918,1.0,0.5214285714285714,1
